Connie Haines;['deep motown']
Joe Hill;['memphis blues', 'one-person band']
Whitney Houston;['dance pop', 'pop', 'urban contemporary']
J. Pat O'Malley;['disney', 'movie tunes']
Joe E. Lewis;['blues rock', 'deep new americana', 'funk', 'modern blues', 'modern blues rock', 'modern funk', 'punk blues']
June Allyson;['vintage hollywood']
Tony Jay;['disney', 'movie tunes']
Katalin Karády;['classic hungarian pop']
Bob Marley;['reggae', 'roots reggae']
Cliff Edwards;['movie tunes']
James Brown;['funk', 'motown', 'soul']
Lawrence Welk;['easy listening', 'lounge', 'polka']
Manolo Escobar;['copla', 'musica aragonesa', 'pop flamenco', 'rumba', 'spanish pop', 'villancicos']
Dorothy Dandridge;['harlem renaissance']
Peggy Lee;['adult standards', 'brill building pop', 'lounge', 'soul', 'swing', 'torch song', 'vocal jazz']
Clive Dunn;['novelty']
Hamilton Camp;['american folk revival']
Clarence Wijewardena;['classic sinhala pop', 'sinhala pop']
Johnny Cash;['arkansas country', 'outlaw country']
José Carlos Schwarz;['gumbe']
Augustine Joseph;['irish classical']
Libertad Lamarque;['tango', 'tango cancion']
Billy Cotton;['british dance band']
Vanity;['dark clubbing', 'synthwave']
Bob Hope;['vintage hollywood']
Divine;['russelater']
Freddie Mercury;['glam rock']
Jack Lawrence;['tin pan alley']
Al Jolson;['big band', 'swing', 'tin pan alley']
Gary McFarland;['jazz vibraphone']
Marc Aryan;['classic turkish pop', 'turkish psych']
Leonard Nimoy;['comic', 'outsider']
